# d1=0.1, d1=0.2, d1=0.3, d1=0.4, d1=0.5, d1=0.6, d1=0.7, d1=0.8, d1=0.9, d1=1.0
3.303599999999999870e-01,2.577000000000000124e-02,2.799999999999999972e-03
8.226799999999999669e-01,6.880000000000000004e-02,9.220000000000000764e-03
9.942999999999999616e-01,1.320300000000000085e-01,1.833999999999999866e-02
1.000000000000000000e+00,2.294400000000000051e-01,3.341000000000000220e-02
1.000000000000000000e+00,4.741299999999999959e-01,5.063000000000000139e-02
1.000000000000000000e+00,8.208100000000000396e-01,8.240999999999999714e-02
1.000000000000000000e+00,9.781100000000000350e-01,1.294800000000000118e-01
1.000000000000000000e+00,9.991100000000000536e-01,2.258799999999999975e-01
1.000000000000000000e+00,1.000000000000000000e+00,3.997200000000000197e-01
1.000000000000000000e+00,1.000000000000000000e+00,6.314899999999999958e-01
